"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US20045","Douglas County, Kansas","11012","null","1687","null","27140","2464","null","null","47091","3395","null","null","73389","null","5578","null","148500","9749","null","null","220343","null","20670","null",
"0500000US20091","Johnson County, Kansas","20622","null","1046","null","47750","1594","null","null","75621","1935","null","null","114934","null","2899","null","257360","12210","null","null","472851","null","38329","null",
"0500000US20103","Leavenworth County, Kansas","14991","null","3419","null","40838","3767","null","null","67088","4444","null","null","96275","null","5275","null","163684","15525","null","null","251826","null","52180","null",
"0500000US20161","Riley County, Kansas","9732","null","1602","null","25706","2989","null","null","44483","3971","null","null","69368","null","6303","null","174261","26484","null","null","308864","null","72065","null",
"0500000US20173","Sedgwick County, Kansas","11225","null","688","null","30797","1080","null","null","50663","1513","null","null","78117","null","2073","null","171599","8335","null","null","309073","null","29160","null",
"0500000US20177","Shawnee County, Kansas","12949","null","1304","null","31959","1788","null","null","53919","2654","null","null","81167","null","3046","null","164216","15357","null","null","297880","null","56213","null",
"0500000US20209","Wyandotte County, Kansas","7746","null","1031","null","21911","1646","null","null","36974","2289","null","null","58802","null","2726","null","111468","4315","null","null","161798","null","8966","null",
"0500000US21015","Boone County, Kentucky","17128","null","2550","null","43004","3430","null","null","65335","4497","null","null","96327","null","5399","null","186426","28006","null","null","311136","null","92758","null",
"0500000US21029","Bullitt County, Kentucky","13875","null","2053","null","33866","3534","null","null","54512","3874","null","null","79685","null","4974","null","127485","7195","null","null","175764","null","17939","null",
"0500000US21037","Campbell County, Kentucky","12284","null","1874","null","31536","2691","null","null","51920","4168","null","null","87266","null","5464","null","162862","12480","null","null","244169","null","29007","null",
