"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US48347","Nacogdoches County, Texas","6872","null","1679","null","21287","null","3929","null","39825","null","4064","null","64941","null","5199","null","123582","null","14576","null","182301","null","43279","null",
"0500000US48355","Nueces County, Texas","9434","null","1037","null","26854","null","1559","null","44365","null","2057","null","70734","null","3099","null","154957","null","14188","null","276380","null","48672","null",
"0500000US48361","Orange County, Texas","10663","null","1791","null","26749","null","2909","null","42532","null","4021","null","67555","null","5820","null","133282","null","14356","null","207687","null","43796","null",
"0500000US48367","Parker County, Texas","15703","null","1762","null","39555","null","4079","null","69420","null","7291","null","106473","null","7393","null","192601","null","18049","null","302387","null","52562","null",
"0500000US48375","Potter County, Texas","9123","null","1181","null","22403","null","1928","null","36873","null","2867","null","59259","null","3999","null","127598","null","11061","null","212129","null","33390","null",
"0500000US48381","Randall County, Texas","12648","null","1833","null","32636","null","3195","null","56562","null","3158","null","86309","null","5589","null","171205","null","13919","null","285073","null","40978","null",
"0500000US48397","Rockwall County, Texas","24408","null","5261","null","55218","null","6404","null","82427","null","5250","null","109674","null","6655","null","186527","null","18651","null","274694","null","43906","null",
"0500000US48409","San Patricio County, Texas","10604","null","2292","null","28157","null","4313","null","49836","null","5897","null","78822","null","7434","null","174352","null","48162","null","333607","null","162472","null",
"0500000US48423","Smith County, Texas","10282","null","1475","null","26194","null","1783","null","43994","null","2487","null","69799","null","4250","null","162124","null","16541","null","299316","null","47150","null",
"0500000US48439","Tarrant County, Texas","12379","null","459","null","31918","null","920","null","53206","null","1104","null","83179","null","1719","null","179946","null","6802","null","317531","null","21393","null",
"0500000US48441","Taylor County, Texas","10611","null","1566","null","25308","null","1833","null","40555","null","3421","null","60477","null","3981","null","125815","null","13648","null","206349","null","35111","null",
"0500000US48451","Tom Green County, Texas","10300","null","1050","null","23647","null","2096","null","42971","null","4856","null","68966","null","3989","null","147601","null","22409","null","267098","null","74331","null",
"0500000US48453","Travis County, Texas","11731","null","789","null","32387","null","1006","null","53787","null","1567","null","85870","null","1939","null","211261","null","7910","null","388897","null","25352","null",
"0500000US48469","Victoria County, Texas","12811","null","1694","null","28921","null","2248","null","46054","null","2914","null","71607","null","6226","null","138778","null","19675","null","232942","null","64797","null",
"0500000US48471","Walker County, Texas","7357","null","2151","null","21609","null","4765","null","39686","null","7005","null","64499","null","7704","null","131986","null","20977","null","217741","null","46887","null",
"0500000US48479","Webb County, Texas","8393","null","1102","null","20158","null","1946","null","35964","null","2760","null","56596","null","4729","null","113828","null","7780","null","168450","null","18015","null",
"0500000US48485","Wichita County, Texas","12117","null","1511","null","27303","null","2211","null","43013","null","2300","null","67105","null","4459","null","136119","null","10377","null","220967","null","31626","null",
"0500000US48491","Williamson County, Texas","19542","null","2246","null","45022","null","2394","null","68210","null","3803","null","99517","null","4109","null","184956","null","11428","null","304556","null","35622","null",
"0500000US49005","Cache County, Utah","14260","null","2000","null","29848","null","2197","null","46698","null","3478","null","70557","null","4702","null","136739","null","10134","null","223303","null","26798","null",
"0500000US49011","Davis County, Utah","19000","null","1943","null","45140","null","2662","null","68913","null","2357","null","96655","null","3258","null","191950","null","18311","null","340909","null","63719","null",
"0500000US49035","Salt Lake County, Utah","13773","null","760","null","35014","null","1179","null","56026","null","1330","null","81678","null","1684","null","165656","null","4855","null","280138","null","17643","null",
"0500000US49049","Utah County, Utah","14795","null","991","null","36358","null","1994","null","58042","null","2339","null","82591","null","2990","null","162715","null","10244","null","271006","null","30661","null",
"0500000US49053","Washington County, Utah","13096","null","2329","null","31479","null","2759","null","46415","null","3194","null","69299","null","4179","null","136827","null","14748","null","239134","null","44290","null",
"0500000US49057","Weber County, Utah","13746","null","1659","null","33946","null","2251","null","52404","null","2631","null","76131","null","3169","null","153988","null","12915","null","264900","null","41530","null",
"0500000US50007","Chittenden County, Vermont","16200","null","1708","null","39185","null","2589","null","62033","null","3133","null","91540","null","4059","null","198202","null","20660","null","352307","null","69435","null",
"0500000US51003","Albemarle County, Virginia","12658","null","2847","null","37636","null","4238","null","65573","null","6377","null","110452","null","10318","null","252793","null","26962","null","443743","null","77307","null",
"0500000US51013","Arlington County, Virginia","24859","null","3535","null","66931","null","4455","null","101802","null","5567","null","155955","null","8663","null","330342","null","25694","null","551529","null","73523","null",
"0500000US51015","Augusta County, Virginia","13222","null","2828","null","31578","null","3411","null","49086","null","4600","null","72063","null","5554","null","127930","null","12540","null","187761","null","28996","null",
"0500000US51019","Bedford County, Virginia","16498","null","2532","null","37729","null","4280","null","59397","null","4470","null","81008","null","5182","null","149529","null","15072","null","226543","null","36770","null",
"0500000US51041","Chesterfield County, Virginia","21127","null","1603","null","46386","null","1962","null","70955","null","2955","null","101998","null","3010","null","190099","null","12552","null","318711","null","39744","null",
"0500000US51059","Fairfax County, Virginia","28000","null","1751","null","68703","null","2011","null","106374","null","2253","null","157070","null","3556","null","309757","null","12120","null","511979","null","39107","null",
"0500000US51061","Fauquier County, Virginia","27439","null","4377","null","62722","null","7007","null","94904","null","8421","null","123924","null","8034","null","270669","null","70820","null","543132","null","248912","null",
"0500000US51069","Frederick County, Virginia","18622","null","2904","null","40676","null","5307","null","69575","null","9013","null","106360","null","7484","null","184769","null","16186","null","276377","null","40320","null",
"0500000US51085","Hanover County, Virginia","17123","null","2616","null","42743","null","3590","null","67007","null","5752","null","100715","null","6744","null","180650","null","13556","null","267440","null","29870","null",
"0500000US51087","Henrico County, Virginia","14997","null","1285","null","36535","null","1619","null","58262","null","2561","null","87840","null","3564","null","181188","null","11826","null","293190","null","30432","null",
"0500000US51095","James City County, Virginia","18640","null","5054","null","46372","null","5437","null","71577","null","6427","null","102036","null","10781","null","233749","null","51800","null","436759","null","184782","null",
"0500000US51107","Loudoun County, Virginia","35566","null","2646","null","79566","null","5046","null","118462","null","4795","null","161943","null","7389","null","273176","null","16670","null","405689","null","44165","null",
"0500000US51121","Montgomery County, Virginia","8857","null","1370","null","24678","null","3229","null","45248","null","5505","null","77322","null","6572","null","157553","null","18634","null","245107","null","27974","null",
"0500000US51153","Prince William County, Virginia","26750","null","3108","null","63000","null","3494","null","94974","null","4191","null","138612","null","5589","null","244984","null","13485","null","367873","null","34278","null",
"0500000US51161","Roanoke County, Virginia","17196","null","2475","null","40029","null","3382","null","61972","null","5337","null","90473","null","5316","null","161222","null","14571","null","247957","null","35347","null",
"0500000US51165","Rockingham County, Virginia","13551","null","1648","null","32364","null","2708","null","52235","null","3649","null","78034","null","5014","null","196916","null","91694","null","435479","null","357827","null",
"0500000US51177","Spotsylvania County, Virginia","22864","null","3284","null","51063","null","6121","null","77113","null","4904","null","107001","null","6877","null","198037","null","20730","null","318115","null","59784","null",
"0500000US51179","Stafford County, Virginia","23697","null","3257","null","58352","null","5826","null","91209","null","5501","null","133819","null","7543","null","219023","null","12359","null","306006","null","32887","null",
"0500000US51199","York County, Virginia","24690","null","3355","null","51729","null","5094","null","83040","null","7080","null","111375","null","5603","null","193279","null","17718","null","285274","null","38586","null",
"0500000US51510","Alexandria city, Virginia","21946","null","3161","null","52804","null","4361","null","83230","null","5590","null","128522","null","8128","null","260830","null","17967","null","418506","null","47797","null",
"0500000US51550","Chesapeake city, Virginia","17783","null","1678","null","42150","null","2279","null","67619","null","3059","null","98212","null","3352","null","171121","null","13048","null","264718","null","46259","null",
"0500000US51650","Hampton city, Virginia","11287","null","1451","null","29473","null","2496","null","49482","null","3356","null","74925","null","4480","null","131585","null","7585","null","188884","null","18032","null",
"0500000US51680","Lynchburg city, Virginia","6900","null","1863","null","20662","null","2927","null","36757","null","3265","null","59033","null","5811","null","137373","null","14931","null","226745","null","43988","null",
"0500000US51700","Newport News city, Virginia","12099","null","1574","null","30818","null","2006","null","49057","null","2866","null","72617","null","3779","null","156062","null","15244","null","290087","null","49695","null",
"0500000US51710","Norfolk city, Virginia","9821","null","910","null","26345","null","1639","null","43275","null","1736","null","65535","null","2604","null","135551","null","6890","null","215731","null","17326","null",
"0500000US51740","Portsmouth city, Virginia","9910","null","1477","null","25671","null","2567","null","43038","null","3154","null","66541","null","4735","null","128577","null","13857","null","209426","null","44234","null",
"0500000US51760","Richmond city, Virginia","6268","null","868","null","20751","null","1700","null","38521","null","2285","null","63052","null","3415","null","159499","null","15032","null","300954","null","46931","null",
"0500000US51770","Roanoke city, Virginia","8641","null","1540","null","24020","null","1815","null","38641","null","3058","null","58834","null","3897","null","127222","null","18781","null","229738","null","67474","null",
"0500000US51800","Suffolk city, Virginia","16456","null","2650","null","40054","null","4129","null","63985","null","5575","null","95434","null","6000","null","168316","null","15903","null","241667","null","28273","null",
"0500000US51810","Virginia Beach city, Virginia","17161","null","1578","null","43122","null","1804","null","65160","null","2064","null","95232","null","2756","null","182334","null","7849","null","293426","null","25214","null",
"0500000US53005","Benton County, Washington","16010","null","2040","null","38312","null","3202","null","62397","null","4350","null","93275","null","4873","null","161568","null","8846","null","236462","null","22327","null",
"0500000US53007","Chelan County, Washington","12897","null","3497","null","34460","null","4228","null","51609","null","4061","null","73896","null","6464","null","147402","null","22038","null","240242","null","51563","null",
"0500000US53009","Clallam County, Washington","12063","null","1765","null","30568","null","2880","null","49950","null","4044","null","73130","null","4168","null","144158","null","16594","null","257884","null","48543","null",
"0500000US53011","Clark County, Washington","14664","null","1020","null","35985","null","1527","null","57239","null","1805","null","84171","null","2700","null","163831","null","7048","null","263433","null","20514","null",
"0500000US53015","Cowlitz County, Washington","11617","null","1326","null","24890","null","2379","null","42361","null","3561","null","67751","null","4411","null","135263","null","14084","null","215030","null","29892","null",
"0500000US53021","Franklin County, Washington","12955","null","2344","null","28439","null","3373","null","48695","null","5105","null","74191","null","5453","null","145110","null","18678","null","230593","null","50083","null",
"0500000US53025","Grant County, Washington","11525","null","1643","null","24858","null","2669","null","43581","null","5118","null","66919","null","4359","null","124304","null","14749","null","201980","null","34354","null",
"0500000US53027","Grays Harbor County, Washington","10217","null","1578","null","26013","null","2030","null","41287","null","3168","null","62905","null","5630","null","108480","null","5673","null","145501","null","12223","null",
"0500000US53029","Island County, Washington","15718","null","2491","null","37336","null","3597","null","60117","null","4740","null","87689","null","5267","null","163663","null","26273","null","275583","null","96421","null",
"0500000US53033","King County, Washington","14587","null","629","null","40578","null","973","null","68869","null","1286","null","107093","null","1655","null","227616","null","5731","null","392026","null","16475","null",
"0500000US53035","Kitsap County, Washington","15001","null","1369","null","37381","null","2361","null","59679","null","2493","null","89424","null","3614","null","175831","null","14295","null","290377","null","48115","null",
"0500000US53041","Lewis County, Washington","13001","null","1429","null","27828","null","1976","null","41975","null","2770","null","62941","null","3954","null","123331","null","13386","null","192039","null","45790","null",
"0500000US53053","Pierce County, Washington","14513","null","653","null","35606","null","992","null","55710","null","1321","null","83495","null","2102","null","163524","null","7240","null","266520","null","22560","null",
"0500000US53057","Skagit County, Washington","13528","null","1559","null","31735","null","2751","null","53586","null","4092","null","81942","null","4294","null","150041","null","10360","null","224475","null","23275","null",
"0500000US53061","Snohomish County, Washington","16861","null","1136","null","40912","null","1272","null","64108","null","1679","null","93749","null","1934","null","171531","null","6893","null","272302","null","22942","null",
"0500000US53063","Spokane County, Washington","10750","null","839","null","28086","null","1050","null","48486","null","1577","null","73257","null","1664","null","145249","null","6241","null","238646","null","17909","null",
"0500000US53067","Thurston County, Washington","13654","null","2358","null","38780","null","2582","null","59965","null","2808","null","83766","null","3282","null","150028","null","10127","null","231279","null","30715","null",
"0500000US53073","Whatcom County, Washington","11539","null","1740","null","30804","null","2372","null","51576","null","3480","null","78161","null","4202","null","144751","null","10347","null","228189","null","28844","null",
"0500000US53077","Yakima County, Washington","12581","null","1033","null","26172","null","1630","null","42421","null","2330","null","65985","null","3380","null","126659","null","7410","null","188449","null","16506","null",
"0500000US54003","Berkeley County, West Virginia","11431","null","1743","null","30502","null","4674","null","50111","null","4587","null","73427","null","6016","null","178426","null","61781","null","377099","null","233369","null",
"0500000US54011","Cabell County, West Virginia","7476","null","978","null","20224","null","2016","null","37335","null","3525","null","63834","null","5531","null","151308","null","19208","null","271287","null","58828","null",
"0500000US54033","Harrison County, West Virginia","10126","null","1234","null","23263","null","2518","null","39678","null","3967","null","71254","null","6926","null","129109","null","11208","null","192581","null","30599","null",
"0500000US54039","Kanawha County, West Virginia","9637","null","1012","null","23658","null","1589","null","40870","null","2749","null","68335","null","3442","null","158555","null","18525","null","300683","null","68156","null",
"0500000US54061","Monongalia County, West Virginia","4631","null","1568","null","22703","null","3256","null","44280","null","4036","null","71387","null","5869","null","155357","null","16481","null","269362","null","51324","null",
"0500000US54081","Raleigh County, West Virginia","9644","null","1805","null","23340","null","2515","null","38509","null","3046","null","63308","null","5011","null","137099","null","21828","null","225286","null","69892","null",
"0500000US54107","Wood County, West Virginia","9678","null","1479","null","22714","null","1448","null","36603","null","2571","null","62020","null","4278","null","136452","null","11710","null","219897","null","33218","null",
"0500000US55009","Brown County, Wisconsin","14133","null","1210","null","32685","null","1757","null","52427","null","2197","null","76138","null","2925","null","151177","null","13411","null","259325","null","44967","null",
"0500000US55025","Dane County, Wisconsin","13867","null","1032","null","36024","null","1617","null","60080","null","1941","null","90823","null","2396","null","183275","null","8272","null","309546","null","27854","null",
"0500000US55027","Dodge County, Wisconsin","14103","null","1607","null","33535","null","2474","null","52904","null","2814","null","75053","null","3185","null","145010","null","12712","null","256478","null","39999","null",
