"Label (Grouping)","Total:","Total:!!With a mortgage:","Total:!!With a mortgage:!!Less than $20,000:","Total:!!With a mortgage:!!Less than $20,000:!!Less than 20 percent","Total:!!With a mortgage:!!Less than $20,000:!!20 to 29 percent","Total:!!With a mortgage:!!Less than $20,000:!!30 percent or more","Total:!!With a mortgage:!!$20,000 to $34,999:","Total:!!With a mortgage:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!With a mortgage:!!$20,000 to $34,999:!!30 percent or more","Total:!!With a mortgage:!!$35,000 to $49,999:","Total:!!With a mortgage:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!With a mortgage:!!$35,000 to $49,999:!!30 percent or more","Total:!!With a mortgage:!!$50,000 to $74,999:","Total:!!With a mortgage:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!With a mortgage:!!$50,000 to $74,999:!!30 percent or more","Total:!!With a mortgage:!!$75,000 or more:","Total:!!With a mortgage:!!$75,000 or more:!!Less than 20 percent","Total:!!With a mortgage:!!$75,000 or more:!!20 to 29 percent","Total:!!With a mortgage:!!$75,000 or more:!!30 percent or more","Total:!!With a mortgage:!!Zero or negative income","Total:!!Not mortgaged:","Total:!!Not mortgaged:!!Less than $20,000:","Total:!!Not mortgaged:!!Less than $20,000:!!Less than 20 percent","Total:!!Not mortgaged:!!Less than $20,000:!!20 to 29 percent","Total:!!Not mortgaged:!!Less than $20,000:!!30 percent or more","Total:!!Not mortgaged:!!$20,000 to $34,999:","Total:!!Not mortgaged:!!$20,000 to $34,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$20,000 to $34,999:!!30 percent or more","Total:!!Not mortgaged:!!$35,000 to $49,999:","Total:!!Not mortgaged:!!$35,000 to $49,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$35,000 to $49,999:!!30 percent or more","Total:!!Not mortgaged:!!$50,000 to $74,999:","Total:!!Not mortgaged:!!$50,000 to $74,999:!!Less than 20 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!20 to 29 percent","Total:!!Not mortgaged:!!$50,000 to $74,999:!!30 percent or more","Total:!!Not mortgaged:!!$75,000 or more:","Total:!!Not mortgaged:!!$75,000 or more:!!Less than 20 percent","Total:!!Not mortgaged:!!$75,000 or more:!!20 to 29 percent","Total:!!Not mortgaged:!!$75,000 or more:!!30 percent or more","Total:!!Not mortgaged:!!Zero or negative income"
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","387,101","240,701","15,197","31","230","14,936","21,784","1,074","3,413","17,297","29,709","3,743","9,612","16,354","56,701","17,106","23,233","16,362","116,542","78,909","31,094","6,539","768","146,400","26,119","3,686","5,844","16,589","29,297","14,494","9,268","5,535","22,581","18,439","3,130","1,012","27,689","26,431","1,175","83","39,279","38,809","470","0","1,435"
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,436,159","1,061,376","35,956","0","64","35,892","58,430","463","4,097","53,870","75,820","4,598","14,143","57,079","160,274","23,329","52,917","84,028","724,461","409,978","233,243","81,240","6,435","374,783","42,051","3,687","5,620","32,744","53,210","20,542","17,312","15,356","42,828","29,631","10,333","2,864","63,204","57,567","4,931","706","169,457","167,740","1,512","205","4,033"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,579,953","1,105,274","40,150","0","136","40,014","56,960","720","2,330","53,910","75,082","2,201","9,313","63,568","162,519","15,625","48,294","98,600","766,690","403,495","260,373","102,822","3,873","474,679","54,719","1,744","4,555","48,420","68,382","10,661","23,721","34,000","60,505","30,620","21,367","8,518","82,720","64,238","15,387","3,095","203,558","198,208","4,603","747","4,795"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","2,717,217","1,648,618","99,673","252","1,385","98,036","162,437","5,177","28,695","128,565","202,750","31,552","80,528","90,670","348,397","140,023","143,910","64,464","828,297","642,460","155,088","30,749","7,064","1,068,599","183,034","22,854","34,679","125,501","208,554","111,130","66,463","30,961","180,714","156,332","20,187","4,195","198,447","191,446","6,018","983","281,774","280,137","1,490","147","16,076"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","1,523,273","1,011,325","32,261","7","658","31,596","69,984","2,140","7,803","60,041","98,082","11,269","32,029","54,784","195,630","54,086","87,600","53,944","612,665","426,296","152,758","33,611","2,703","511,948","64,468","7,771","12,334","44,363","82,071","42,394","25,542","14,135","75,761","64,848","9,108","1,805","102,770","98,081","3,724","965","182,725","181,565","1,115","45","4,153"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
