"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US32031","Washoe County, Nevada","14175","959","null","null","34836","1180","null","null","56397","null","1995","null","85709","null","2371","null","184103","11087","null","null","324343","35275","null","null",
"0500000US33005","Cheshire County, New Hampshire","14266","2862","null","null","36344","4190","null","null","61793","null","5125","null","91152","null","5393","null","187821","21205","null","null","310192","46513","null","null",
"0500000US33009","Grafton County, New Hampshire","13071","2273","null","null","35629","3270","null","null","58053","null","4275","null","91294","null","6880","null","230127","24770","null","null","424850","64089","null","null",
"0500000US33011","Hillsborough County, New Hampshire","18776","1401","null","null","45852","2018","null","null","73975","null","2509","null","110357","null","3465","null","220189","10709","null","null","355949","28204","null","null",
"0500000US33013","Merrimack County, New Hampshire","16707","1801","null","null","41478","2882","null","null","68263","null","3317","null","100487","null","4699","null","197210","14990","null","null","319992","49858","null","null",
"0500000US33015","Rockingham County, New Hampshire","24440","1929","null","null","56181","2610","null","null","88238","null","2863","null","123957","null","3793","null","241749","19232","null","null","396761","67637","null","null",
"0500000US33017","Strafford County, New Hampshire","15666","1669","null","null","36617","3031","null","null","61938","null","4227","null","94685","null","5778","null","183711","18823","null","null","305395","63427","null","null",
"0500000US34001","Atlantic County, New Jersey","13128","1328","null","null","33213","2232","null","null","54405","null","2844","null","90569","null","4271","null","196796","13015","null","null","336410","39629","null","null",
"0500000US34003","Bergen County, New Jersey","18516","1031","null","null","52241","2016","null","null","89737","null","3000","null","140837","null","3785","null","318057","12737","null","null","572007","32815","null","null",
"0500000US34005","Burlington County, New Jersey","18840","1362","null","null","46115","1949","null","null","74438","null","2444","null","112611","null","3116","null","227484","9534","null","null","380558","29798","null","null",
"0500000US34007","Camden County, New Jersey","12313","992","null","null","36872","1568","null","null","64717","null","2326","null","103415","null","3328","null","203958","10713","null","null","336795","32809","null","null",
"0500000US34009","Cape May County, New Jersey","14269","1920","null","null","35709","3175","null","null","57369","null","3785","null","89580","null","5459","null","201801","19601","null","null","362896","57776","null","null",
"0500000US34011","Cumberland County, New Jersey","10819","1702","null","null","30542","2883","null","null","52003","null","3857","null","81304","null","4842","null","147636","10846","null","null","219718","29306","null","null",
"0500000US34013","Essex County, New Jersey","9281","640","null","null","27426","1093","null","null","52620","null","1878","null","94703","null","3119","null","266461","10527","null","null","508498","30995","null","null",
"0500000US34015","Gloucester County, New Jersey","18024","1438","null","null","46255","2637","null","null","77456","null","3061","null","113143","null","4448","null","217133","17586","null","null","346403","63682","null","null",
"0500000US34017","Hudson County, New Jersey","10487","804","null","null","32542","1423","null","null","59990","null","2084","null","99633","null","3079","null","231163","11425","null","null","404485","34432","null","null",
"0500000US34019","Hunterdon County, New Jersey","22597","4078","null","null","64732","4323","null","null","102166","null","5893","null","158594","null","10166","null","307371","24285","null","null","482260","69440","null","null",
"0500000US34021","Mercer County, New Jersey","15078","1237","null","null","41741","1980","null","null","73462","null","3001","null","118744","null","3839","null","266471","13387","null","null","459735","42361","null","null",
"0500000US34023","Middlesex County, New Jersey","18160","1161","null","null","47347","1668","null","null","78612","null","2264","null","119581","null","2733","null","238828","7925","null","null","383332","20013","null","null",
"0500000US34025","Monmouth County, New Jersey","17262","1219","null","null","48562","2218","null","null","86811","null","2994","null","136005","null","3880","null","302395","14358","null","null","543007","47540","null","null",
"0500000US34027","Morris County, New Jersey","24574","1625","null","null","62479","2710","null","null","102284","null","3059","null","158776","null","4041","null","346579","17451","null","null","613688","56125","null","null",
"0500000US34029","Ocean County, New Jersey","16027","984","null","null","38525","1494","null","null","63765","null","1971","null","99543","null","2620","null","205393","10852","null","null","354825","36334","null","null",
"0500000US34031","Passaic County, New Jersey","9853","888","null","null","29950","1523","null","null","56869","null","2973","null","96832","null","3477","null","193955","7733","null","null","300507","21569","null","null",
"0500000US34033","Salem County, New Jersey","13988","3034","null","null","42184","3777","null","null","69438","null","5634","null","104542","null","6225","null","213677","64388","null","null","410486","251379","null","null",
"0500000US34035","Somerset County, New Jersey","23330","2284","null","null","61315","3351","null","null","98532","null","4021","null","153468","null","6305","null","327815","17984","null","null","555862","55481","null","null",
"0500000US34037","Sussex County, New Jersey","22597","2393","null","null","54989","3588","null","null","85516","null","4273","null","123725","null","5119","null","259070","28296","null","null","485769","94595","null","null",
"0500000US34039","Union County, New Jersey","16435","1093","null","null","41205","2045","null","null","71367","null","2998","null","113181","null","3864","null","272457","12725","null","null","505620","38570","null","null",
"0500000US34041","Warren County, New Jersey","18959","1905","null","null","42460","3727","null","null","70770","null","5142","null","107929","null","7579","null","209238","19476","null","null","332024","56910","null","null",
"0500000US35001","Bernalillo County, New Mexico","10075","650","null","null","27098","985","null","null","47533","null","1535","null","76803","null","1990","null","169221","9964","null","null","294181","35623","null","null",
"0500000US35005","Chaves County, New Mexico","8973","2501","null","null","22302","2475","null","null","38135","null","5340","null","65006","null","5884","null","123055","12551","null","null","190607","30577","null","null",
"0500000US35013","Doña Ana County, New Mexico","9185","1089","null","null","22947","2015","null","null","39321","null","2731","null","64201","null","4113","null","143840","17186","null","null","244212","56726","null","null",
"0500000US35025","Lea County, New Mexico","13763","3091","null","null","35382","4143","null","null","56601","null","7554","null","89815","null","8255","null","170707","22044","null","null","282480","57236","null","null",
"0500000US35031","McKinley County, New Mexico","4158","955","null","null","14386","2043","null","null","28029","null","2684","null","53193","null","4546","null","121982","22498","null","null","199493","61478","null","null",
"0500000US35035","Otero County, New Mexico","7819","1630","null","null","20649","3269","null","null","37029","null","4793","null","61463","null","5714","null","110835","10782","null","null","160271","24786","null","null",
"0500000US35043","Sandoval County, New Mexico","13960","2176","null","null","38603","3640","null","null","62831","null","3453","null","86631","null","4184","null","165923","17696","null","null","274740","60968","null","null",
"0500000US35045","San Juan County, New Mexico","10366","1285","null","null","28244","2704","null","null","48968","null","3621","null","76833","null","5510","null","155142","18749","null","null","268923","65150","null","null",
"0500000US35049","Santa Fe County, New Mexico","12692","1439","null","null","33426","2182","null","null","56110","null","3774","null","92212","null","5705","null","209893","20245","null","null","380095","63844","null","null",
"0500000US35061","Valencia County, New Mexico","9997","1936","null","null","24717","2972","null","null","42010","null","3272","null","64258","null","6299","null","125489","12848","null","null","191876","35821","null","null",
"0500000US36001","Albany County, New York","12774","1578","null","null","33489","2377","null","null","58162","null","2821","null","90773","null","3599","null","205541","16971","null","null","365488","55765","null","null",
"0500000US36005","Bronx County, New York","6563","309","null","null","18084","715","null","null","34897","null","1189","null","60201","null","1564","null","137822","5011","null","null","235718","16684","null","null",
"0500000US36007","Broome County, New York","10414","860","null","null","27361","1699","null","null","46578","null","2696","null","74490","null","3547","null","151955","10093","null","null","245319","28482","null","null",
"0500000US36009","Cattaraugus County, New York","11071","1168","null","null","24991","1500","null","null","40601","null","2297","null","62507","null","3096","null","116410","7336","null","null","168460","13678","null","null",
"0500000US36011","Cayuga County, New York","14924","1610","null","null","33930","2978","null","null","53678","null","3449","null","78701","null","4008","null","150976","12461","null","null","243165","38711","null","null",
"0500000US36013","Chautauqua County, New York","10043","1217","null","null","26455","2302","null","null","44533","null","2573","null","68828","null","3035","null","133074","9982","null","null","216885","31968","null","null",
"0500000US36015","Chemung County, New York","11950","1875","null","null","32506","3028","null","null","53016","null","3466","null","77654","null","5221","null","150497","18624","null","null","243438","57433","null","null",
"0500000US36019","Clinton County, New York","10894","1595","null","null","28369","3188","null","null","45782","null","4269","null","71099","null","5063","null","126022","7866","null","null","175694","15730","null","null",
"0500000US36027","Dutchess County, New York","15483","1686","null","null","43041","2652","null","null","72418","null","3206","null","108139","null","3194","null","213962","14625","null","null","355210","50376","null","null",
"0500000US36029","Erie County, New York","10579","638","null","null","29630","1097","null","null","53110","null","1474","null","84768","null","1715","null","169561","5917","null","null","286166","19358","null","null",
"0500000US36045","Jefferson County, New York","13580","1657","null","null","31757","2518","null","null","50772","null","2811","null","75450","null","3814","null","138963","8844","null","null","218356","29495","null","null",
"0500000US36047","Kings County, New York","8947","291","null","null","26807","628","null","null","51182","null","864","null","87836","null","1311","null","215544","5122","null","null","400115","17157","null","null",
"0500000US36051","Livingston County, New York","13192","1997","null","null","31790","3923","null","null","54542","null","4732","null","82219","null","4932","null","150027","17513","null","null","245233","64225","null","null",
"0500000US36053","Madison County, New York","13803","2285","null","null","39752","3897","null","null","61276","null","4142","null","89553","null","4576","null","162564","14850","null","null","258300","42955","null","null",
"0500000US36055","Monroe County, New York","11701","681","null","null","32304","1033","null","null","54574","null","1501","null","86075","null","1684","null","176620","6171","null","null","294701","21356","null","null",
"0500000US36059","Nassau County, New York","23363","943","null","null","61659","1530","null","null","102158","null","2198","null","152841","null","2561","null","327237","9926","null","null","581102","30841","null","null",
"0500000US36061","New York County, New York","10621","531","null","null","37233","1367","null","null","75975","null","2328","null","137712","null","4196","null","443446","20335","null","null","910229","58998","null","null",
"0500000US36063","Niagara County, New York","11178","1136","null","null","28026","1648","null","null","48978","null","2566","null","78307","null","2904","null","157990","11922","null","null","259278","42398","null","null",
"0500000US36065","Oneida County, New York","10887","1120","null","null","28879","1603","null","null","47604","null","2771","null","74732","null","3672","null","172038","19529","null","null","321660","67431","null","null",
"0500000US36067","Onondaga County, New York","12136","928","null","null","34076","1313","null","null","57559","null","1359","null","89281","null","1991","null","183896","8771","null","null","314680","29736","null","null",
"0500000US36069","Ontario County, New York","15987","2072","null","null","37094","2293","null","null","58372","null","3733","null","91565","null","4211","null","213345","39984","null","null","439405","145567","null","null",
"0500000US36071","Orange County, New York","16482","1161","null","null","43128","2301","null","null","73317","null","3220","null","112009","null","3918","null","214127","13955","null","null","353861","44748","null","null",
"0500000US36075","Oswego County, New York","12075","1881","null","null","31229","2472","null","null","49885","null","2985","null","74449","null","4259","null","137305","10630","null","null","218227","34584","null","null",
"0500000US36079","Putnam County, New York","21731","3543","null","null","56610","5918","null","null","91449","null","6824","null","137271","null","8614","null","236855","16368","null","null","354556","48862","null","null",
"0500000US36081","Queens County, New York","13323","550","null","null","35511","812","null","null","60083","null","972","null","93846","null","1246","null","190863","4531","null","null","313124","13481","null","null",
"0500000US36083","Rensselaer County, New York","14406","1694","null","null","36205","2781","null","null","59927","null","3253","null","92563","null","5066","null","192151","14945","null","null","330953","54242","null","null",
"0500000US36085","Richmond County, New York","10060","1536","null","null","39408","2594","null","null","71371","null","3187","null","112219","null","3317","null","208432","8676","null","null","327571","26265","null","null",
"0500000US36087","Rockland County, New York","17004","1351","null","null","46984","3194","null","null","85186","null","3646","null","130650","null","5263","null","264477","14802","null","null","427648","39668","null","null",
"0500000US36089","St. Lawrence County, New York","9747","1507","null","null","25184","1985","null","null","42964","null","2682","null","67915","null","3452","null","132928","11177","null","null","212010","32534","null","null",
