"GEO_ID","NAME","B19083_001E","B19083_001M","B19083_001MA","B19083_001EA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index","Annotation of Estimate!!Gini Index",
"0500000US08001","Adams County, Colorado","0.4079","0.0135","null","null",
"0500000US08005","Arapahoe County, Colorado","0.4633","0.0127","null","null",
"0500000US08013","Boulder County, Colorado","0.4857","0.0247","null","null",
"0500000US08014","Broomfield County, Colorado","0.4167","0.0412","null","null",
"0500000US08031","Denver County, Colorado","0.4927","0.0117","null","null",
"0500000US08035","Douglas County, Colorado","0.3975","0.0159","null","null",
"0500000US08041","El Paso County, Colorado","0.4331","0.0115","null","null",
"0500000US08059","Jefferson County, Colorado","0.4422","0.0110","null","null",
"0500000US08069","Larimer County, Colorado","0.4469","0.0181","null","null",
"0500000US08077","Mesa County, Colorado","0.4448","0.0277","null","null",
"0500000US08101","Pueblo County, Colorado","0.4748","0.0278","null","null",
"0500000US08123","Weld County, Colorado","0.3993","0.0126","null","null",
"0500000US09001","Fairfield County, Connecticut","0.5404","0.0090","null","null",
"0500000US09003","Hartford County, Connecticut","0.4684","0.0071","null","null",
"0500000US09005","Litchfield County, Connecticut","0.4678","0.0254","null","null",
"0500000US09007","Middlesex County, Connecticut","0.4271","0.0214","null","null",
"0500000US09009","New Haven County, Connecticut","0.4617","0.0081","null","null",
"0500000US09011","New London County, Connecticut","0.4446","0.0176","null","null",
"0500000US09013","Tolland County, Connecticut","0.4376","0.0242","null","null",
"0500000US09015","Windham County, Connecticut","0.3897","0.0196","null","null",
"0500000US10001","Kent County, Delaware","0.4375","0.0283","null","null",
"0500000US10003","New Castle County, Delaware","0.4543","0.0121","null","null",
"0500000US10005","Sussex County, Delaware","0.4460","0.0335","null","null",
"0500000US11001","District of Columbia, District of Columbia","0.5354","0.0156","null","null",
"0500000US12001","Alachua County, Florida","0.5026","0.0184","null","null",
"0500000US12005","Bay County, Florida","0.4446","0.0233","null","null",
"0500000US12009","Brevard County, Florida","0.4471","0.0149","null","null",
"0500000US12011","Broward County, Florida","0.4788","0.0077","null","null",
"0500000US12015","Charlotte County, Florida","0.4610","0.0283","null","null",
"0500000US12017","Citrus County, Florida","0.4638","0.0363","null","null",
"0500000US12019","Clay County, Florida","0.4058","0.0217","null","null",
"0500000US12021","Collier County, Florida","0.5259","0.0202","null","null",
"0500000US12023","Columbia County, Florida","0.4290","0.0375","null","null",
"0500000US12031","Duval County, Florida","0.4765","0.0132","null","null",
"0500000US12033","Escambia County, Florida","0.4206","0.0175","null","null",
"0500000US12035","Flagler County, Florida","0.4312","0.0406","null","null",
"0500000US12053","Hernando County, Florida","0.4243","0.0195","null","null",
"0500000US12055","Highlands County, Florida","0.5118","0.0767","null","null",
"0500000US12057","Hillsborough County, Florida","0.4737","0.0086","null","null",
"0500000US12061","Indian River County, Florida","0.5246","0.0353","null","null",
"0500000US12069","Lake County, Florida","0.4086","0.0153","null","null",
"0500000US12071","Lee County, Florida","0.4776","0.0132","null","null",
"0500000US12073","Leon County, Florida","0.4889","0.0169","null","null",
"0500000US12081","Manatee County, Florida","0.4585","0.0171","null","null",
"0500000US12083","Marion County, Florida","0.4422","0.0187","null","null",
"0500000US12085","Martin County, Florida","0.5060","0.0266","null","null",
"0500000US12086","Miami-Dade County, Florida","0.5402","0.0107","null","null",
"0500000US12087","Monroe County, Florida","0.5050","0.0340","null","null",
"0500000US12089","Nassau County, Florida","0.4645","0.0410","null","null",
"0500000US12091","Okaloosa County, Florida","0.4268","0.0202","null","null",
"0500000US12095","Orange County, Florida","0.4841","0.0140","null","null",
"0500000US12097","Osceola County, Florida","0.4469","0.0314","null","null",
"0500000US12099","Palm Beach County, Florida","0.5172","0.0105","null","null",
"0500000US12101","Pasco County, Florida","0.4490","0.0112","null","null",
"0500000US12103","Pinellas County, Florida","0.4937","0.0122","null","null",
"0500000US12105","Polk County, Florida","0.4325","0.0139","null","null",
"0500000US12107","Putnam County, Florida","0.4787","0.0427","null","null",
"0500000US12109","St. Johns County, Florida","0.4949","0.0187","null","null",
"0500000US12111","St. Lucie County, Florida","0.4492","0.0294","null","null",
"0500000US12113","Santa Rosa County, Florida","0.4218","0.0294","null","null",
"0500000US12115","Sarasota County, Florida","0.4716","0.0152","null","null",
"0500000US12117","Seminole County, Florida","0.4629","0.0149","null","null",
"0500000US12119","Sumter County, Florida","0.4335","0.0424","null","null",
"0500000US12127","Volusia County, Florida","0.4673","0.0234","null","null",
"0500000US13013","Barrow County, Georgia","0.4671","0.0592","null","null",
"0500000US13015","Bartow County, Georgia","0.4221","0.0455","null","null",
"0500000US13021","Bibb County, Georgia","0.5105","0.0276","null","null",
"0500000US13031","Bulloch County, Georgia","0.5049","0.0263","null","null",
"0500000US13045","Carroll County, Georgia","0.4816","0.0607","null","null",
"0500000US13047","Catoosa County, Georgia","0.4091","0.0246","null","null",
"0500000US13051","Chatham County, Georgia","0.4637","0.0158","null","null",
"0500000US13057","Cherokee County, Georgia","0.4055","0.0231","null","null",
"0500000US13059","Clarke County, Georgia","0.5462","0.0259","null","null",
"0500000US13063","Clayton County, Georgia","0.4321","0.0223","null","null",
"0500000US13067","Cobb County, Georgia","0.4538","0.0128","null","null",
"0500000US13073","Columbia County, Georgia","0.3946","0.0358","null","null",
"0500000US13077","Coweta County, Georgia","0.4023","0.0181","null","null",
"0500000US13089","DeKalb County, Georgia","0.4822","0.0118","null","null",
"0500000US13095","Dougherty County, Georgia","0.4960","0.0261","null","null",
"0500000US13097","Douglas County, Georgia","0.3883","0.0213","null","null",
"0500000US13113","Fayette County, Georgia","0.4491","0.0329","null","null",
"0500000US13115","Floyd County, Georgia","0.4687","0.0301","null","null",
"0500000US13117","Forsyth County, Georgia","0.4081","0.0213","null","null",
"0500000US13121","Fulton County, Georgia","0.5352","0.0099","null","null",
"0500000US13127","Glynn County, Georgia","0.4958","0.0446","null","null",
"0500000US13135","Gwinnett County, Georgia","0.4180","0.0107","null","null",
"0500000US13139","Hall County, Georgia","0.4754","0.0258","null","null",
"0500000US13151","Henry County, Georgia","0.3826","0.0199","null","null",
"0500000US13153","Houston County, Georgia","0.4355","0.0357","null","null",
"0500000US13179","Liberty County, Georgia","0.4283","0.0291","null","null",
"0500000US13185","Lowndes County, Georgia","0.4754","0.0260","null","null",
"0500000US13215","Muscogee County, Georgia","0.4970","0.0262","null","null",
"0500000US13217","Newton County, Georgia","0.4017","0.0243","null","null",
"0500000US13223","Paulding County, Georgia","0.3844","0.0312","null","null",
"0500000US13245","Richmond County, Georgia","0.4704","0.0214","null","null",
"0500000US13247","Rockdale County, Georgia","0.4037","0.0280","null","null",
"0500000US13285","Troup County, Georgia","0.4832","0.0381","null","null",
"0500000US13295","Walker County, Georgia","0.4495","0.0474","null","null",
"0500000US13297","Walton County, Georgia","0.4309","0.0283","null","null",
"0500000US13313","Whitfield County, Georgia","0.4723","0.0563","null","null",
"0500000US15001","Hawaii County, Hawaii","0.4432","0.0194","null","null",
"0500000US15003","Honolulu County, Hawaii","0.4322","0.0088","null","null",
"0500000US15007","Kauai County, Hawaii","0.4076","0.0328","null","null",
"0500000US15009","Maui County, Hawaii","0.4205","0.0228","null","null",
"0500000US16001","Ada County, Idaho","0.4678","0.0242","null","null",
"0500000US16005","Bannock County, Idaho","0.4656","0.0296","null","null",
"0500000US16019","Bonneville County, Idaho","0.5020","0.0506","null","null",
"0500000US16027","Canyon County, Idaho","0.4120","0.0195","null","null",
"0500000US16055","Kootenai County, Idaho","0.4580","0.0239","null","null",
"0500000US16083","Twin Falls County, Idaho","0.4232","0.0364","null","null",
"0500000US17001","Adams County, Illinois","0.4536","0.0402","null","null",
"0500000US17019","Champaign County, Illinois","0.5061","0.0244","null","null",
"0500000US17031","Cook County, Illinois","0.5094","0.0039","null","null",
"0500000US17037","DeKalb County, Illinois","0.4431","0.0352","null","null",
"0500000US17043","DuPage County, Illinois","0.4562","0.0090","null","null",
"0500000US17089","Kane County, Illinois","0.4461","0.0168","null","null",
"0500000US17091","Kankakee County, Illinois","0.4321","0.0221","null","null",
"0500000US17093","Kendall County, Illinois","0.3791","0.0333","null","null",
"0500000US17097","Lake County, Illinois","0.4818","0.0100","null","null",
"0500000US17099","LaSalle County, Illinois","0.4280","0.0241","null","null",
"0500000US17111","McHenry County, Illinois","0.3957","0.0164","null","null",
"0500000US17113","McLean County, Illinois","0.4666","0.0242","null","null",
"0500000US17115","Macon County, Illinois","0.4794","0.0278","null","null",
"0500000US17119","Madison County, Illinois","0.4414","0.0170","null","null",
"0500000US17143","Peoria County, Illinois","0.4812","0.0268","null","null",
"0500000US17161","Rock Island County, Illinois","0.4260","0.0206","null","null",
"0500000US17163","St. Clair County, Illinois","0.4639","0.0169","null","null",
"0500000US17167","Sangamon County, Illinois","0.4646","0.0234","null","null",
"0500000US17179","Tazewell County, Illinois","0.4163","0.0274","null","null",
"0500000US17183","Vermilion County, Illinois","0.4523","0.0293","null","null",
"0500000US17197","Will County, Illinois","0.4146","0.0110","null","null",
"0500000US17199","Williamson County, Illinois","0.4731","0.0362","null","null",
"0500000US17201","Winnebago County, Illinois","0.4342","0.0175","null","null",
"0500000US18003","Allen County, Indiana","0.4719","0.0223","null","null",
"0500000US18005","Bartholomew County, Indiana","0.4313","0.0325","null","null",
"0500000US18019","Clark County, Indiana","0.3982","0.0216","null","null",
"0500000US18035","Delaware County, Indiana","0.4544","0.0270","null","null",
"0500000US18039","Elkhart County, Indiana","0.4415","0.0263","null","null",
"0500000US18043","Floyd County, Indiana","0.4406","0.0333","null","null",
"0500000US18053","Grant County, Indiana","0.4043","0.0225","null","null",
"0500000US18057","Hamilton County, Indiana","0.4485","0.0206","null","null",
"0500000US18059","Hancock County, Indiana","0.3651","0.0237","null","null",
"0500000US18063","Hendricks County, Indiana","0.3854","0.0245","null","null",
"0500000US18067","Howard County, Indiana","0.4359","0.0250","null","null",
"0500000US18081","Johnson County, Indiana","0.3956","0.0227","null","null",
"0500000US18085","Kosciusko County, Indiana","0.3985","0.0274","null","null",
"0500000US18089","Lake County, Indiana","0.4424","0.0126","null","null",
"0500000US18091","LaPorte County, Indiana","0.4666","0.0412","null","null",
"0500000US18095","Madison County, Indiana","0.4129","0.0176","null","null",
"0500000US18097","Marion County, Indiana","0.4810","0.0114","null","null",
"0500000US18105","Monroe County, Indiana","0.5048","0.0282","null","null",
"0500000US18109","Morgan County, Indiana","0.4115","0.0456","null","null",
"0500000US18127","Porter County, Indiana","0.4337","0.0212","null","null",
"0500000US18141","St. Joseph County, Indiana","0.4575","0.0187","null","null",
"0500000US18157","Tippecanoe County, Indiana","0.4555","0.0209","null","null",
"0500000US18163","Vanderburgh County, Indiana","0.4800","0.0434","null","null",
"0500000US18167","Vigo County, Indiana","0.4828","0.0434","null","null",
"0500000US18177","Wayne County, Indiana","0.5028","0.0521","null","null",
"0500000US19013","Black Hawk County, Iowa","0.4605","0.0235","null","null",
