"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US40017","Canadian County, Oklahoma","21505","null","2732","null","46181","4240","null","null","73140","null","4421","null","101182","4759","null","null","190715","18551","null","null","314665","null","50434","null",
"0500000US40027","Cleveland County, Oklahoma","14169","null","1891","null","40741","1976","null","null","64672","null","2639","null","99535","3708","null","null","197452","16270","null","null","342343","null","55279","null",
"0500000US40031","Comanche County, Oklahoma","12290","null","1798","null","32084","2894","null","null","51489","null","3763","null","80106","5943","null","null","154976","19636","null","null","251365","null","65985","null",
"0500000US40037","Creek County, Oklahoma","13320","null","1697","null","32974","2770","null","null","55439","null","3545","null","82540","4400","null","null","170848","19879","null","null","286511","null","66005","null",
"0500000US40101","Muskogee County, Oklahoma","9298","null","1832","null","26263","2271","null","null","43291","null","3998","null","71193","6003","null","null","173647","28629","null","null","336960","null","101966","null",
"0500000US40109","Oklahoma County, Oklahoma","12670","null","801","null","34501","1097","null","null","56790","null","1504","null","90278","2563","null","null","220808","12976","null","null","419579","null","44576","null",
"0500000US40119","Payne County, Oklahoma","7525","null","1985","null","23361","3165","null","null","41499","null","3634","null","67366","5664","null","null","149314","19604","null","null","261804","null","62171","null",
"0500000US40125","Pottawatomie County, Oklahoma","11713","null","1414","null","30872","3069","null","null","53513","null","3680","null","80948","4515","null","null","169920","28507","null","null","291096","null","111214","null",
"0500000US40131","Rogers County, Oklahoma","18472","null","1794","null","43900","3020","null","null","66482","null","3250","null","96928","5581","null","null","190213","19203","null","null","309567","null","63896","null",
"0500000US40143","Tulsa County, Oklahoma","13205","null","657","null","34481","867","null","null","57832","null","1189","null","91975","1625","null","null","223969","9682","null","null","426135","null","31375","null",
"0500000US40145","Wagoner County, Oklahoma","17338","null","2019","null","41557","3349","null","null","65467","null","4022","null","97376","5348","null","null","195002","18436","null","null","334632","null","59816","null",
"0500000US41003","Benton County, Oregon","11842","null","2957","null","39812","3989","null","null","69673","null","5508","null","110879","7825","null","null","207798","19244","null","null","330607","null","54588","null",
"0500000US41005","Clackamas County, Oregon","20146","null","1889","null","50273","3046","null","null","80717","null","3281","null","124137","4394","null","null","255646","14404","null","null","430645","null","42727","null",
"0500000US41017","Deschutes County, Oregon","16367","null","2851","null","43547","3631","null","null","72315","null","4753","null","107745","6918","null","null","217425","17969","null","null","360864","null","45931","null",
"0500000US41019","Douglas County, Oregon","15155","null","2103","null","33416","2625","null","null","48793","null","3279","null","72502","5905","null","null","147445","13430","null","null","235609","null","36256","null",
"0500000US41029","Jackson County, Oregon","12955","null","1689","null","33446","2332","null","null","56165","null","3511","null","87266","4337","null","null","179911","11564","null","null","297960","null","27435","null",
"0500000US41033","Josephine County, Oregon","13597","null","1578","null","30663","3285","null","null","47890","null","4905","null","73808","6775","null","null","150206","15103","null","null","248817","null","41512","null",
"0500000US41035","Klamath County, Oregon","11415","null","1572","null","30932","4148","null","null","55345","null","5326","null","79596","5693","null","null","166742","22358","null","null","277864","null","73024","null",
"0500000US41039","Lane County, Oregon","13181","null","1044","null","33392","1467","null","null","57390","null","1859","null","88700","2937","null","null","193236","16450","null","null","348636","null","59618","null",
"0500000US41043","Linn County, Oregon","17312","null","2127","null","38068","3179","null","null","61801","null","5068","null","92231","5164","null","null","163497","18463","null","null","256844","null","55850","null",
"0500000US41047","Marion County, Oregon","16377","null","1628","null","40351","2353","null","null","63947","null","2909","null","94299","4158","null","null","177006","11197","null","null","276483","null","30675","null",
"0500000US41051","Multnomah County, Oregon","15640","null","1070","null","44627","1547","null","null","73785","null","2227","null","115111","2895","null","null","246004","9080","null","null","420291","null","24112","null",
