"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002M","B19081_002MA","B19081_002EA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US19049","Dallas County, Iowa","27347","4127","null","null","63629","6057","null","null","105025","10537","null","null","164740","9380","null","null","323453","31457","null","null","540027","81056","null","null",
"0500000US19061","Dubuque County, Iowa","18879","2301","null","null","46459","3321","null","null","74640","4376","null","null","112690","5516","null","null","234103","27820","null","null","409960","90321","null","null",
"0500000US19103","Johnson County, Iowa","13964","2565","null","null","41399","3686","null","null","74354","4145","null","null","113641","5951","null","null","242275","21761","null","null","415414","60996","null","null",
"0500000US19113","Linn County, Iowa","19294","1727","null","null","45722","2713","null","null","72622","3425","null","null","111540","4755","null","null","229814","17237","null","null","395238","53020","null","null",
"0500000US19153","Polk County, Iowa","19811","1784","null","null","48357","1893","null","null","77741","2587","null","null","121328","3583","null","null","258376","14338","null","null","461303","48467","null","null",
"0500000US19155","Pottawattamie County, Iowa","17420","2479","null","null","43469","3503","null","null","69653","4203","null","null","106048","6279","null","null","202759","22408","null","null","331078","77958","null","null",
"0500000US19163","Scott County, Iowa","14948","2239","null","null","41480","2949","null","null","66614","4292","null","null","104443","5292","null","null","217652","17414","null","null","371188","54436","null","null",
"0500000US19169","Story County, Iowa","13969","2607","null","null","37409","3979","null","null","66468","5757","null","null","109786","6687","null","null","250404","36333","null","null","466609","120246","null","null",
"0500000US19193","Woodbury County, Iowa","13871","3023","null","null","40360","4315","null","null","67433","5554","null","null","102982","6378","null","null","207289","25309","null","null","349253","85878","null","null",
"0500000US20015","Butler County, Kansas","22052","3367","null","null","51922","4761","null","null","80399","4539","null","null","109823","6817","null","null","197073","19921","null","null","301753","56685","null","null",
"0500000US20045","Douglas County, Kansas","13115","3119","null","null","39108","4326","null","null","66101","5589","null","null","103661","6890","null","null","232456","25188","null","null","382042","66263","null","null",
"0500000US20091","Johnson County, Kansas","26318","1502","null","null","63131","2162","null","null","98821","2805","null","null","150346","4362","null","null","341537","18956","null","null","624316","59580","null","null",
"0500000US20103","Leavenworth County, Kansas","16776","5181","null","null","47415","8451","null","null","78960","6735","null","null","119506","8518","null","null","221145","26140","null","null","353274","91622","null","null",
"0500000US20161","Riley County, Kansas","11316","1913","null","null","29674","3903","null","null","51518","4762","null","null","83177","8687","null","null","213091","34635","null","null","393380","100889","null","null",
"0500000US20173","Sedgwick County, Kansas","14750","1190","null","null","39085","1688","null","null","64878","2476","null","null","100353","3398","null","null","223723","13837","null","null","401957","43556","null","null",
"0500000US20177","Shawnee County, Kansas","10618","2185","null","null","37013","2745","null","null","61334","3281","null","null","96068","4221","null","null","196266","18746","null","null","338242","57935","null","null",
"0500000US20209","Wyandotte County, Kansas","13001","1751","null","null","36622","2785","null","null","59584","3661","null","null","89618","5667","null","null","170707","15835","null","null","258063","45125","null","null",
"0500000US21015","Boone County, Kentucky","24739","3499","null","null","60179","4672","null","null","90572","5688","null","null","131966","6398","null","null","244813","17285","null","null","365261","44461","null","null",
"0500000US21029","Bullitt County, Kentucky","16973","3940","null","null","50421","5274","null","null","78355","6282","null","null","114161","8171","null","null","213654","23353","null","null","336933","64216","null","null",
"0500000US21037","Campbell County, Kentucky","16705","2913","null","null","43226","4469","null","null","73931","6322","null","null","113626","7709","null","null","272061","32034","null","null","490248","85376","null","null",
"0500000US21047","Christian County, Kentucky","11091","3336","null","null","36145","5874","null","null","59294","6985","null","null","89621","10088","null","null","199937","34137","null","null","367031","100354","null","null",
"0500000US21059","Daviess County, Kentucky","12241","2982","null","null","38041","5221","null","null","66982","6247","null","null","99671","5743","null","null","207283","24290","null","null","364061","73359","null","null",
"0500000US21067","Fayette County, Kentucky","13547","1604","null","null","37033","2535","null","null","63411","3170","null","null","106393","5584","null","null","255500","14674","null","null","460225","48041","null","null",
"0500000US21093","Hardin County, Kentucky","15913","2370","null","null","39170","3855","null","null","62042","4926","null","null","97187","7930","null","null","212918","32164","null","null","381806","108417","null","null",
"0500000US21111","Jefferson County, Kentucky","13149","1067","null","null","38750","1583","null","null","64980","2157","null","null","102717","2955","null","null","252014","17755","null","null","487429","55669","null","null",
"0500000US21117","Kenton County, Kentucky","16647","2421","null","null","46382","3792","null","null","78271","4922","null","null","119175","6359","null","null","257998","34850","null","null","484961","122659","null","null",
"0500000US21145","McCracken County, Kentucky","14043","2673","null","null","35998","4560","null","null","62643","7502","null","null","103612","10095","null","null","233273","46651","null","null","448260","161304","null","null",
"0500000US21151","Madison County, Kentucky","17156","2448","null","null","38353","2693","null","null","60813","4807","null","null","94398","5667","null","null","185143","14333","null","null","303195","45083","null","null",
"0500000US21185","Oldham County, Kentucky","27908","5342","null","null","77251","6360","null","null","114991","9018","null","null","170289","12287","null","null","353231","52841","null","null","623880","158561","null","null",
"0500000US21199","Pulaski County, Kentucky","11637","2252","null","null","28566","3201","null","null","45631","3985","null","null","74206","6462","null","null","165986","23044","null","null","305527","60754","null","null",
"0500000US21227","Warren County, Kentucky","9252","2922","null","null","34930","4419","null","null","59493","4888","null","null","95205","6943","null","null","214699","44299","null","null","395870","154254","null","null",
"0500000US22005","Ascension Parish, Louisiana","18163","3442","null","null","46884","6655","null","null","79418","8036","null","null","122845","9613","null","null","241379","29525","null","null","377957","98274","null","null",
"0500000US22015","Bossier Parish, Louisiana","14919","2512","null","null","39573","4450","null","null","63712","3893","null","null","93026","5624","null","null","199460","16740","null","null","326032","36696","null","null",
"0500000US22017","Caddo Parish, Louisiana","8312","1520","null","null","25395","2054","null","null","46920","2803","null","null","77563","4902","null","null","198821","18762","null","null","385750","63929","null","null",
"0500000US22019","Calcasieu Parish, Louisiana","13228","1277","null","null","33946","3869","null","null","62658","4488","null","null","100336","8125","null","null","225774","37980","null","null","405992","132669","null","null",
"0500000US22033","East Baton Rouge Parish, Louisiana","10517","1391","null","null","34985","2474","null","null","60915","2549","null","null","95364","4113","null","null","221221","12360","null","null","395684","33759","null","null",
"0500000US22045","Iberia Parish, Louisiana","8518","2452","null","null","26180","3697","null","null","43973","5200","null","null","74888","8391","null","null","172713","34371","null","null","310693","115180","null","null",
"0500000US22051","Jefferson Parish, Louisiana","12627","1699","null","null","36367","2421","null","null","61903","2905","null","null","100698","4428","null","null","220425","14049","null","null","375262","41946","null","null",
"0500000US22055","Lafayette Parish, Louisiana","10872","1829","null","null","34358","2746","null","null","57921","4199","null","null","98312","6250","null","null","208873","16613","null","null","358494","53149","null","null",
"0500000US22057","Lafourche Parish, Louisiana","12214","1956","null","null","34100","3912","null","null","58843","5939","null","null","92934","7569","null","null","198794","25391","null","null","335201","77237","null","null",
"0500000US22063","Livingston Parish, Louisiana","15320","2519","null","null","42785","4049","null","null","73064","5350","null","null","106046","6267","null","null","216853","43917","null","null","399332","156856","null","null",
"0500000US22071","Orleans Parish, Louisiana","8398","931","null","null","27745","2075","null","null","52941","2046","null","null","94484","3555","null","null","249832","12744","null","null","465234","37696","null","null",
"0500000US22073","Ouachita Parish, Louisiana","8059","1619","null","null","24791","2594","null","null","46133","5081","null","null","80996","6012","null","null","183192","18466","null","null","311136","45611","null","null",
"0500000US22079","Rapides Parish, Louisiana","12286","1748","null","null","33282","3509","null","null","60092","6026","null","null","96942","7391","null","null","194936","20214","null","null","330358","65083","null","null",
"0500000US22097","St. Landry Parish, Louisiana","7773","1879","null","null","23535","3311","null","null","42303","4880","null","null","66574","7727","null","null","162525","26353","null","null","275854","74548","null","null",
"0500000US22103","St. Tammany Parish, Louisiana","18075","2101","null","null","44126","2953","null","null","74921","5144","null","null","118012","6517","null","null","247552","20159","null","null","436685","72888","null","null",
"0500000US22105","Tangipahoa Parish, Louisiana","9568","2147","null","null","31075","3839","null","null","54971","5347","null","null","87858","8845","null","null","166438","15397","null","null","250060","47112","null","null",
"0500000US22109","Terrebonne Parish, Louisiana","12803","2894","null","null","34932","3909","null","null","58934","6804","null","null","92227","5154","null","null","199869","32044","null","null","362569","101500","null","null",
"0500000US23001","Androscoggin County, Maine","18120","2093","null","null","42852","3282","null","null","63583","4562","null","null","94791","7182","null","null","182620","15945","null","null","282315","42414","null","null",
"0500000US23003","Aroostook County, Maine","10507","1853","null","null","30158","3198","null","null","52255","4123","null","null","82150","5445","null","null","156282","13341","null","null","242156","36172","null","null",
"0500000US23005","Cumberland County, Maine","20955","2074","null","null","54862","2490","null","null","90414","4031","null","null","140147","5718","null","null","325173","21671","null","null","608414","64294","null","null",
"0500000US23011","Kennebec County, Maine","15369","2231","null","null","39000","3301","null","null","63087","4767","null","null","97383","6186","null","null","197419","20004","null","null","338507","62633","null","null",
"0500000US23019","Penobscot County, Maine","12858","1754","null","null","34295","2937","null","null","61163","3849","null","null","97725","5469","null","null","205959","20612","null","null","359526","52956","null","null",
"0500000US23031","York County, Maine","20415","2908","null","null","52765","3251","null","null","81071","3608","null","null","115634","4112","null","null","224618","13430","null","null","359302","39527","null","null",
"0500000US24001","Allegany County, Maryland","8228","1701","null","null","24107","3635","null","null","47982","7098","null","null","86814","8575","null","null","176885","21941","null","null","296951","76335","null","null",
"0500000US24003","Anne Arundel County, Maryland","26723","2282","null","null","70890","2810","null","null","114065","3414","null","null","170873","4933","null","null","338276","18027","null","null","555461","54098","null","null",
"0500000US24005","Baltimore County, Maryland","18078","1417","null","null","52412","2169","null","null","87504","2922","null","null","134082","3913","null","null","284710","12122","null","null","502249","38547","null","null",
"0500000US24009","Calvert County, Maryland","35993","5068","null","null","76525","7088","null","null","121007","12997","null","null","173843","9804","null","null","280927","19005","null","null","384162","26733","null","null",
"0500000US24013","Carroll County, Maryland","25242","3674","null","null","69081","5401","null","null","105992","6350","null","null","164246","7765","null","null","296785","21181","null","null","458312","52913","null","null",
"0500000US24015","Cecil County, Maryland","21532","3969","null","null","51956","6995","null","null","88493","6967","null","null","129141","7546","null","null","257649","42090","null","null","449622","145246","null","null",
"0500000US24017","Charles County, Maryland","24186","5064","null","null","73221","6764","null","null","116000","7175","null","null","163786","8575","null","null","264931","16243","null","null","385720","52842","null","null",
"0500000US24021","Frederick County, Maryland","31067","3662","null","null","78476","5596","null","null","120444","6112","null","null","175908","8242","null","null","312195","13873","null","null","440357","27895","null","null",
"0500000US24025","Harford County, Maryland","21176","2317","null","null","59006","4375","null","null","101812","5243","null","null","151523","6152","null","null","259287","11017","null","null","370075","24385","null","null",
"0500000US24027","Howard County, Maryland","34141","3579","null","null","84686","4315","null","null","135405","5787","null","null","207122","9260","null","null","383396","20930","null","null","599756","54812","null","null",
"0500000US24031","Montgomery County, Maryland","26598","1560","null","null","72532","2515","null","null","118996","3212","null","null","189937","5080","null","null","414085","14956","null","null","715702","43572","null","null",
