"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US06053","Monterey County, California","18680","null","1573","null","44947","null","2673","null","71642","3349","null","null","110178","5213","null","null","256344","17855","null","null","471183","47866","null","null",
"0500000US06055","Napa County, California","21081","null","2301","null","51419","null","3574","null","87325","5242","null","null","132287","6928","null","null","272775","22695","null","null","457879","69528","null","null",
"0500000US06057","Nevada County, California","14417","null","2687","null","38434","null","4637","null","67226","6139","null","null","104746","7460","null","null","209350","18562","null","null","331637","48479","null","null",
"0500000US06059","Orange County, California","18914","null","751","null","53485","null","1172","null","89854","1560","null","null","139804","1873","null","null","309446","8100","null","null","555875","24621","null","null",
"0500000US06061","Placer County, California","18819","null","1630","null","50829","null","2934","null","87525","3723","null","null","132915","4288","null","null","267619","13628","null","null","428673","39616","null","null",
"0500000US06065","Riverside County, California","14219","null","675","null","38849","null","991","null","67080","1320","null","null","104079","1660","null","null","224575","8467","null","null","396242","30296","null","null",
"0500000US06067","Sacramento County, California","14704","null","762","null","41148","null","1287","null","69417","1519","null","null","107523","2026","null","null","215741","7144","null","null","356899","22290","null","null",
"0500000US06071","San Bernardino County, California","14557","null","588","null","38466","null","1133","null","64224","1539","null","null","98591","1953","null","null","194689","6355","null","null","310244","21556","null","null",
"0500000US06073","San Diego County, California","17724","null","599","null","47059","null","837","null","79063","1168","null","null","123115","1617","null","null","264226","5509","null","null","460339","17445","null","null",
"0500000US06075","San Francisco County, California","16184","null","1144","null","57903","null","3048","null","113384","4617","null","null","193100","5694","null","null","453894","18142","null","null","808105","48092","null","null",
