"GEO_ID","NAME","B19083_001E","B19083_001EA","B19083_001M","B19083_001MA",
"Geography","Geographic Area Name","Estimate!!Gini Index","Annotation of Estimate!!Gini Index","Margin of Error!!Gini Index","Annotation of Margin of Error!!Gini Index",
"0500000US12035","Flagler County, Florida","0.4458","null","0.0271","null",
"0500000US12053","Hernando County, Florida","0.4427","null","0.0170","null",
"0500000US12055","Highlands County, Florida","0.4946","null","0.0419","null",
"0500000US12057","Hillsborough County, Florida","0.4799","null","0.0081","null",
"0500000US12061","Indian River County, Florida","0.5319","null","0.0412","null",
"0500000US12069","Lake County, Florida","0.4469","null","0.0213","null",
"0500000US12071","Lee County, Florida","0.4841","null","0.0150","null",
"0500000US12073","Leon County, Florida","0.5089","null","0.0194","null",
"0500000US12081","Manatee County, Florida","0.4828","null","0.0239","null",
"0500000US12083","Marion County, Florida","0.4581","null","0.0189","null",
"0500000US12085","Martin County, Florida","0.5288","null","0.0232","null",
"0500000US12086","Miami-Dade County, Florida","0.5175","null","0.0083","null",
"0500000US12087","Monroe County, Florida","0.5418","null","0.0367","null",
"0500000US12089","Nassau County, Florida","0.4850","null","0.0309","null",
"0500000US12091","Okaloosa County, Florida","0.4516","null","0.0265","null",
"0500000US12095","Orange County, Florida","0.4865","null","0.0126","null",
"0500000US12097","Osceola County, Florida","0.4286","null","0.0214","null",
"0500000US12099","Palm Beach County, Florida","0.5252","null","0.0092","null",
"0500000US12101","Pasco County, Florida","0.4467","null","0.0096","null",
"0500000US12103","Pinellas County, Florida","0.4816","null","0.0094","null",
"0500000US12105","Polk County, Florida","0.4458","null","0.0137","null",
"0500000US12107","Putnam County, Florida","0.4495","null","0.0400","null",
"0500000US12109","St. Johns County, Florida","0.4701","null","0.0219","null",
"0500000US12111","St. Lucie County, Florida","0.4350","null","0.0227","null",
"0500000US12113","Santa Rosa County, Florida","0.4238","null","0.0253","null",
"0500000US12115","Sarasota County, Florida","0.4860","null","0.0175","null",
"0500000US12117","Seminole County, Florida","0.4406","null","0.0117","null",
"0500000US12119","Sumter County, Florida","0.4055","null","0.0387","null",
"0500000US12127","Volusia County, Florida","0.4614","null","0.0137","null",
"0500000US12131","Walton County, Florida","0.4766","null","0.0466","null",
"0500000US13013","Barrow County, Georgia","0.3877","null","0.0240","null",
"0500000US13015","Bartow County, Georgia","0.4003","null","0.0277","null",
"0500000US13021","Bibb County, Georgia","0.5000","null","0.0224","null",
"0500000US13031","Bulloch County, Georgia","0.4554","null","0.0318","null",
"0500000US13045","Carroll County, Georgia","0.4533","null","0.0355","null",
"0500000US13047","Catoosa County, Georgia","0.3870","null","0.0366","null",
"0500000US13051","Chatham County, Georgia","0.5016","null","0.0219","null",
"0500000US13057","Cherokee County, Georgia","0.4260","null","0.0223","null",
"0500000US13059","Clarke County, Georgia","0.4907","null","0.0216","null",
"0500000US13063","Clayton County, Georgia","0.4108","null","0.0227","null",
"0500000US13067","Cobb County, Georgia","0.4425","null","0.0125","null",
"0500000US13073","Columbia County, Georgia","0.4180","null","0.0240","null",
"0500000US13077","Coweta County, Georgia","0.4242","null","0.0214","null",
"0500000US13089","DeKalb County, Georgia","0.4837","null","0.0112","null",
"0500000US13095","Dougherty County, Georgia","0.4906","null","0.0397","null",
"0500000US13097","Douglas County, Georgia","0.4308","null","0.0281","null",
"0500000US13113","Fayette County, Georgia","0.4446","null","0.0324","null",
"0500000US13115","Floyd County, Georgia","0.4987","null","0.0328","null",
"0500000US13117","Forsyth County, Georgia","0.3996","null","0.0147","null",
"0500000US13121","Fulton County, Georgia","0.5359","null","0.0124","null",
"0500000US13127","Glynn County, Georgia","0.5112","null","0.0438","null",
"0500000US13135","Gwinnett County, Georgia","0.4255","null","0.0145","null",
"0500000US13139","Hall County, Georgia","0.4643","null","0.0271","null",
"0500000US13151","Henry County, Georgia","0.3783","null","0.0180","null",
"0500000US13153","Houston County, Georgia","0.4476","null","0.0302","null",
"0500000US13157","Jackson County, Georgia","0.3549","null","0.0226","null",
"0500000US13185","Lowndes County, Georgia","0.5474","null","0.0388","null",
"0500000US13215","Muscogee County, Georgia","0.4708","null","0.0220","null",
"0500000US13217","Newton County, Georgia","0.4585","null","0.0669","null",
"0500000US13223","Paulding County, Georgia","0.3760","null","0.0227","null",
"0500000US13245","Richmond County, Georgia","0.4724","null","0.0268","null",
"0500000US13247","Rockdale County, Georgia","0.4184","null","0.0333","null",
"0500000US13255","Spalding County, Georgia","0.4279","null","0.0399","null",
"0500000US13285","Troup County, Georgia","0.4975","null","0.0460","null",
"0500000US13295","Walker County, Georgia","0.4580","null","0.0309","null",
"0500000US13297","Walton County, Georgia","0.3982","null","0.0256","null",
"0500000US13313","Whitfield County, Georgia","0.4274","null","0.0235","null",
"0500000US15001","Hawaii County, Hawaii","0.5071","null","0.0407","null",
"0500000US15003","Honolulu County, Hawaii","0.4303","null","0.0093","null",
"0500000US15007","Kauai County, Hawaii","0.4310","null","0.0352","null",
"0500000US15009","Maui County, Hawaii","0.4396","null","0.0245","null",
"0500000US16001","Ada County, Idaho","0.4534","null","0.0178","null",
"0500000US16005","Bannock County, Idaho","0.4125","null","0.0208","null",
"0500000US16019","Bonneville County, Idaho","0.4498","null","0.0310","null",
"0500000US16027","Canyon County, Idaho","0.3822","null","0.0234","null",
"0500000US16055","Kootenai County, Idaho","0.4515","null","0.0348","null",
"0500000US16083","Twin Falls County, Idaho","0.4703","null","0.0760","null",
"0500000US17001","Adams County, Illinois","0.4663","null","0.0540","null",
"0500000US17019","Champaign County, Illinois","0.5051","null","0.0239","null",
"0500000US17031","Cook County, Illinois","0.5105","null","0.0039","null",
"0500000US17037","DeKalb County, Illinois","0.4346","null","0.0253","null",
"0500000US17043","DuPage County, Illinois","0.4541","null","0.0091","null",
"0500000US17089","Kane County, Illinois","0.4484","null","0.0187","null",
"0500000US17091","Kankakee County, Illinois","0.4513","null","0.0264","null",
"0500000US17093","Kendall County, Illinois","0.3342","null","0.0285","null",
"0500000US17097","Lake County, Illinois","0.4869","null","0.0096","null",
"0500000US17099","LaSalle County, Illinois","0.4702","null","0.0389","null",
"0500000US17111","McHenry County, Illinois","0.4112","null","0.0196","null",
"0500000US17113","McLean County, Illinois","0.4787","null","0.0255","null",
"0500000US17115","Macon County, Illinois","0.4605","null","0.0274","null",
"0500000US17119","Madison County, Illinois","0.4367","null","0.0138","null",
"0500000US17143","Peoria County, Illinois","0.4940","null","0.0295","null",
"0500000US17161","Rock Island County, Illinois","0.4355","null","0.0232","null",
"0500000US17163","St. Clair County, Illinois","0.4630","null","0.0248","null",
"0500000US17167","Sangamon County, Illinois","0.4527","null","0.0179","null",
"0500000US17179","Tazewell County, Illinois","0.4174","null","0.0349","null",
"0500000US17183","Vermilion County, Illinois","0.4555","null","0.0330","null",
"0500000US17197","Will County, Illinois","0.4087","null","0.0111","null",
"0500000US17199","Williamson County, Illinois","0.4649","null","0.0460","null",
"0500000US17201","Winnebago County, Illinois","0.4547","null","0.0140","null",
"0500000US18003","Allen County, Indiana","0.4605","null","0.0215","null",
"0500000US18005","Bartholomew County, Indiana","0.4055","null","0.0225","null",
"0500000US18011","Boone County, Indiana","0.4417","null","0.0350","null",
"0500000US18019","Clark County, Indiana","0.4192","null","0.0274","null",
"0500000US18035","Delaware County, Indiana","0.4486","null","0.0214","null",
"0500000US18039","Elkhart County, Indiana","0.4128","null","0.0182","null",
"0500000US18043","Floyd County, Indiana","0.4308","null","0.0327","null",
"0500000US18053","Grant County, Indiana","0.4014","null","0.0286","null",
"0500000US18057","Hamilton County, Indiana","0.4498","null","0.0249","null",
"0500000US18059","Hancock County, Indiana","0.3778","null","0.0323","null",
"0500000US18063","Hendricks County, Indiana","0.3930","null","0.0335","null",
"0500000US18067","Howard County, Indiana","0.4202","null","0.0327","null",
"0500000US18081","Johnson County, Indiana","0.4039","null","0.0248","null",
