"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US48135","Ector County, Texas","13939","null","3139","null","35925","null","3224","null","55804","3998","null","null","82134","5546","null","null","155047","null","16483","null","245416","null","46047","null",
"0500000US48139","Ellis County, Texas","20125","null","2281","null","48555","null","3960","null","73434","4323","null","null","103980","4931","null","null","199449","null","12786","null","317950","null","34666","null",
"0500000US48141","El Paso County, Texas","10650","null","597","null","26008","null","1312","null","44304","1645","null","null","69753","2174","null","null","157544","null","8503","null","282143","null","30017","null",
"0500000US48157","Fort Bend County, Texas","23104","null","1935","null","54706","null","2651","null","90327","4059","null","null","135982","5246","null","null","280547","null","19002","null","478892","null","52955","null",
"0500000US48167","Galveston County, Texas","15526","null","1293","null","42417","null","2836","null","70959","3748","null","null","111290","5648","null","null","232372","null","15989","null","395586","null","48879","null",
"0500000US48181","Grayson County, Texas","12608","null","2091","null","33573","null","3119","null","56979","5430","null","null","86114","4794","null","null","170685","null","13540","null","288185","null","43923","null",
"0500000US48183","Gregg County, Texas","12215","null","2349","null","29423","null","2367","null","46832","3612","null","null","72934","5640","null","null","177909","null","43124","null","360928","null","153945","null",
"0500000US48187","Guadalupe County, Texas","16898","null","2332","null","42345","null","3329","null","67041","3167","null","null","94745","4498","null","null","173495","null","10179","null","254110","null","22120","null",
"0500000US48201","Harris County, Texas","12956","null","411","null","35105","null","647","null","59025","887","null","null","94987","1207","null","null","232078","null","4847","null","434629","null","15788","null",
"0500000US48203","Harrison County, Texas","11595","null","2104","null","29872","null","3919","null","52995","6132","null","null","80118","4779","null","null","161522","null","25072","null","279009","null","69058","null",
"0500000US48209","Hays County, Texas","16621","null","2314","null","39780","null","3185","null","65290","4831","null","null","97486","5711","null","null","194976","null","15245","null","306007","null","40588","null",
"0500000US48213","Henderson County, Texas","10992","null","2006","null","27710","null","3200","null","46437","5368","null","null","72729","5995","null","null","150942","null","17734","null","253809","null","48200","null",
