"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003M","B19081_003MA","B19081_003EA","B19081_004E","B19081_004M","B19081_004MA","B19081_004EA","B19081_005E","B19081_005M","B19081_005MA","B19081_005EA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US36109","Tompkins County, New York","9754","2115","null","null","28908","null","3213","null","48908","4694","null","null","80336","6396","null","null","187475","24317","null","null","341202","67642","null","null",
"0500000US36111","Ulster County, New York","14155","1562","null","null","34272","null","2241","null","58778","3086","null","null","89241","4819","null","null","178905","10185","null","null","279465","23743","null","null",
"0500000US36113","Warren County, New York","15291","1879","null","null","34419","null","3142","null","55450","3575","null","null","82130","5186","null","null","176300","23850","null","null","314060","71757","null","null",
"0500000US36117","Wayne County, New York","14869","1681","null","null","31934","null","2983","null","50474","3168","null","null","72481","4075","null","null","131272","9439","null","null","193628","22225","null","null",
"0500000US36119","Westchester County, New York","16489","886","null","null","46912","null","1784","null","84785","2317","null","null","136730","3496","null","null","368278","14823","null","null","711513","42359","null","null",
"0500000US37001","Alamance County, North Carolina","10863","1271","null","null","23882","null","1671","null","42027","2612","null","null","66455","3172","null","null","134468","11881","null","null","229050","40395","null","null",
"0500000US37019","Brunswick County, North Carolina","12308","1739","null","null","28503","null","2396","null","47049","3189","null","null","71831","4359","null","null","142429","10055","null","null","229554","28439","null","null",
"0500000US37021","Buncombe County, North Carolina","11840","1203","null","null","29198","null","2107","null","46677","2460","null","null","72311","3533","null","null","155081","10535","null","null","261977","32476","null","null",
"0500000US37023","Burke County, North Carolina","9356","1431","null","null","20834","null","2107","null","34136","3165","null","null","55807","4580","null","null","103001","6551","null","null","153402","13611","null","null",
"0500000US37025","Cabarrus County, North Carolina","15854","1522","null","null","35459","null","2413","null","55126","3498","null","null","84363","3731","null","null","158567","9358","null","null","237115","22945","null","null",
"0500000US37027","Caldwell County, North Carolina","8389","1884","null","null","22399","null","2285","null","33102","2895","null","null","54852","4860","null","null","131084","32281","null","null","259848","102741","null","null",
"0500000US37031","Carteret County, North Carolina","11302","1611","null","null","28344","null","2236","null","44177","2688","null","null","67559","4559","null","null","143748","11238","null","null","242925","29802","null","null",
"0500000US37035","Catawba County, North Carolina","10318","1521","null","null","25539","null","1893","null","42559","3040","null","null","65762","3180","null","null","145787","18073","null","null","259785","60477","null","null",
"0500000US37037","Chatham County, North Carolina","11349","2890","null","null","32201","null","5083","null","57179","5243","null","null","86909","8032","null","null","200384","28661","null","null","337457","84908","null","null",
"0500000US37045","Cleveland County, North Carolina","10006","1336","null","null","22607","null","1955","null","39515","2933","null","null","61476","3671","null","null","130249","19702","null","null","237052","70820","null","null",
"0500000US37049","Craven County, North Carolina","10189","2035","null","null","28707","null","2886","null","45808","3191","null","null","70851","4872","null","null","135478","13941","null","null","213627","46471","null","null",
"0500000US37051","Cumberland County, North Carolina","10557","928","null","null","27201","null","1222","null","43669","1628","null","null","66991","2355","null","null","132095","6910","null","null","214504","20296","null","null",
"0500000US37057","Davidson County, North Carolina","10425","1185","null","null","25096","null","2036","null","39449","2563","null","null","62302","3802","null","null","134325","12873","null","null","230143","37708","null","null",
"0500000US37063","Durham County, North Carolina","12184","1116","null","null","31419","null","1694","null","52772","2860","null","null","85843","4419","null","null","205846","16882","null","null","376216","50754","null","null",
"0500000US37067","Forsyth County, North Carolina","9986","1044","null","null","26082","null","1324","null","45200","2067","null","null","72724","2673","null","null","174126","10054","null","null","320172","30752","null","null",
"0500000US37071","Gaston County, North Carolina","10606","890","null","null","24934","null","1690","null","41627","2196","null","null","66807","3359","null","null","140828","8832","null","null","242682","29245","null","null",
"0500000US37081","Guilford County, North Carolina","10425","770","null","null","27089","null","1129","null","45784","1694","null","null","73353","2096","null","null","177530","14354","null","null","339283","51888","null","null",
"0500000US37085","Harnett County, North Carolina","9866","1500","null","null","28415","null","2051","null","45282","2539","null","null","70773","4171","null","null","142866","12192","null","null","236495","34741","null","null",
"0500000US37089","Henderson County, North Carolina","10466","1558","null","null","26233","null","2324","null","44118","3012","null","null","63702","3351","null","null","135668","14074","null","null","229248","42635","null","null",
"0500000US37097","Iredell County, North Carolina","13349","1365","null","null","31138","null","2032","null","50231","3223","null","null","81832","4087","null","null","182282","19285","null","null","345445","63398","null","null",
"0500000US37101","Johnston County, North Carolina","12206","1848","null","null","33295","null","2475","null","51475","2821","null","null","76915","3898","null","null","140109","9435","null","null","212353","25992","null","null",
"0500000US37109","Lincoln County, North Carolina","12267","2108","null","null","29844","null","3537","null","49920","4172","null","null","79094","7324","null","null","162178","21378","null","null","274142","59824","null","null",
"0500000US37119","Mecklenburg County, North Carolina","12901","748","null","null","33101","null","1012","null","54270","1298","null","null","88316","2114","null","null","215997","8658","null","null","396579","29714","null","null",
