"GEO_ID","NAME","B19081_001E","B19081_001EA","B19081_001M","B19081_001MA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006M","B19081_006MA","B19081_006EA",
"Geography","Geographic Area Name","Estimate!!Quintile Means:!!Lowest Quintile","Annotation of Estimate!!Quintile Means:!!Lowest Quintile","Margin of Error!!Quintile Means:!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means:!!Lowest Quintile","Estimate!!Quintile Means:!!Second Quintile","Annotation of Estimate!!Quintile Means:!!Second Quintile","Margin of Error!!Quintile Means:!!Second Quintile","Annotation of Margin of Error!!Quintile Means:!!Second Quintile","Estimate!!Quintile Means:!!Third Quintile","Annotation of Estimate!!Quintile Means:!!Third Quintile","Margin of Error!!Quintile Means:!!Third Quintile","Annotation of Margin of Error!!Quintile Means:!!Third Quintile","Estimate!!Quintile Means:!!Fourth Quintile","Annotation of Estimate!!Quintile Means:!!Fourth Quintile","Margin of Error!!Quintile Means:!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means:!!Fourth Quintile","Estimate!!Quintile Means:!!Highest Quintile","Annotation of Estimate!!Quintile Means:!!Highest Quintile","Margin of Error!!Quintile Means:!!Highest Quintile","Annotation of Margin of Error!!Quintile Means:!!Highest Quintile","Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent",
"0500000US39035","Cuyahoga County, Ohio","10676","null","691","null","31962","null","1024","null","55736","null","1232","null","89757","null","1628","null","218205","null","7080","null","410012","24961","null","null",
"0500000US39041","Delaware County, Ohio","30857","null","3446","null","74533","null","4746","null","117144","null","6158","null","166764","null","6890","null","331903","null","25201","null","582612","75281","null","null",
"0500000US39043","Erie County, Ohio","11913","null","2380","null","31759","null","3594","null","58486","null","4638","null","89357","null","5633","null","187148","null","24654","null","329794","65850","null","null",
"0500000US39045","Fairfield County, Ohio","20012","null","2764","null","48806","null","4494","null","80755","null","5576","null","116204","null","5810","null","210802","null","17058","null","337487","47273","null","null",
"0500000US39049","Franklin County, Ohio","15458","null","782","null","41561","null","1168","null","66455","null","1480","null","102544","null","2084","null","227609","null","8722","null","415736","28835","null","null",
"0500000US39055","Geauga County, Ohio","23774","null","3136","null","58580","null","5339","null","92185","null","6670","null","141202","null","10944","null","294128","null","30699","null","475075","65807","null","null",
"0500000US39057","Greene County, Ohio","16226","null","2429","null","47294","null","4164","null","79779","null","4338","null","117988","null","5195","null","223853","null","18850","null","344259","43076","null","null",
"0500000US39061","Hamilton County, Ohio","11202","null","1019","null","35577","null","1629","null","64486","null","1773","null","104362","null","2128","null","260016","null","14283","null","505232","46910","null","null",
"0500000US39063","Hancock County, Ohio","19245","null","3149","null","41941","null","3429","null","64885","null","6660","null","98321","null","7402","null","213328","null","28067","null","360013","71656","null","null",
"0500000US39085","Lake County, Ohio","20504","null","1811","null","46679","null","2308","null","74889","null","2879","null","109869","null","3955","null","207865","null","13214","null","337001","43063","null","null",
"0500000US39089","Licking County, Ohio","17441","null","2682","null","46861","null","3594","null","73250","null","4688","null","109408","null","5315","null","228086","null","29937","null","414941","99126","null","null",
"0500000US39093","Lorain County, Ohio","14534","null","1529","null","38117","null","2137","null","63296","null","3258","null","96788","null","3560","null","213982","null","20375","null","380084","69663","null","null",
"0500000US39095","Lucas County, Ohio","10317","null","1052","null","31468","null","1707","null","54610","null","2428","null","87752","null","3313","null","202561","null","16502","null","380382","54012","null","null",
"0500000US39099","Mahoning County, Ohio","9202","null","1043","null","28876","null","1801","null","49727","null","2301","null","78840","null","3720","null","187484","null","19248","null","362416","69933","null","null",
"0500000US39101","Marion County, Ohio","13887","null","1821","null","31824","null","3068","null","50735","null","5310","null","79347","null","5518","null","157014","null","32117","null","280998","116755","null","null",
"0500000US39103","Medina County, Ohio","23621","null","2849","null","55770","null","3462","null","86900","null","3936","null","125826","null","4715","null","234525","null","16216","null","377248","47953","null","null",
"0500000US39109","Miami County, Ohio","17520","null","2580","null","43815","null","3913","null","65074","null","3864","null","100565","null","7440","null","203739","null","22379","null","328185","60847","null","null",
"0500000US39113","Montgomery County, Ohio","12599","null","988","null","34945","null","1500","null","57136","null","1948","null","88908","null","2716","null","181366","null","6984","null","288709","19172","null","null",
"0500000US39119","Muskingum County, Ohio","11041","null","2364","null","28516","null","3266","null","51268","null","5825","null","78675","null","8389","null","178465","null","40078","null","318294","138673","null","null",
"0500000US39133","Portage County, Ohio","12865","null","2083","null","36643","null","3191","null","64716","null","5027","null","102786","null","6138","null","218131","null","20323","null","372599","67415","null","null",
