"GEO_ID","NAME","B19081_001E","B19081_001M","B19081_001MA","B19081_001EA","B19081_002E","B19081_002EA","B19081_002M","B19081_002MA","B19081_003E","B19081_003EA","B19081_003M","B19081_003MA","B19081_004E","B19081_004EA","B19081_004M","B19081_004MA","B19081_005E","B19081_005EA","B19081_005M","B19081_005MA","B19081_006E","B19081_006EA","B19081_006M","B19081_006MA",
"Geography","Geographic Area Name","Estimate!!Quintile Means!!Lowest Quintile","Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Margin of Error!!Quintile Means!!Lowest Quintile","Annotation of Estimate!!Quintile Means!!Lowest Quintile","Estimate!!Quintile Means!!Second Quintile","Annotation of Estimate!!Quintile Means!!Second Quintile","Margin of Error!!Quintile Means!!Second Quintile","Annotation of Margin of Error!!Quintile Means!!Second Quintile","Estimate!!Quintile Means!!Third Quintile","Annotation of Estimate!!Quintile Means!!Third Quintile","Margin of Error!!Quintile Means!!Third Quintile","Annotation of Margin of Error!!Quintile Means!!Third Quintile","Estimate!!Quintile Means!!Fourth Quintile","Annotation of Estimate!!Quintile Means!!Fourth Quintile","Margin of Error!!Quintile Means!!Fourth Quintile","Annotation of Margin of Error!!Quintile Means!!Fourth Quintile","Estimate!!Quintile Means!!Highest Quintile","Annotation of Estimate!!Quintile Means!!Highest Quintile","Margin of Error!!Quintile Means!!Highest Quintile","Annotation of Margin of Error!!Quintile Means!!Highest Quintile","Estimate!!Top 5 Percent","Annotation of Estimate!!Top 5 Percent","Margin of Error!!Top 5 Percent","Annotation of Margin of Error!!Top 5 Percent",
"0500000US41047","Marion County, Oregon","15939","1234","null","null","34522","null","1916","null","56000","null","2009","null","81175","null","3057","null","159260","null","12278","null","266418","null","38374","null",
"0500000US41051","Multnomah County, Oregon","13158","698","null","null","36997","null","1351","null","62758","null","1751","null","99538","null","2563","null","217769","null","8529","null","381032","null","24604","null",
"0500000US41053","Polk County, Oregon","15599","2969","null","null","35244","null","2831","null","53798","null","4945","null","83699","null","6552","null","164602","null","19244","null","264542","null","52362","null",
"0500000US41059","Umatilla County, Oregon","12311","2030","null","null","30181","null","4002","null","50985","null","4990","null","72416","null","4835","null","143889","null","18394","null","242581","null","62675","null",
"0500000US41067","Washington County, Oregon","19659","1155","null","null","46867","null","1734","null","75436","null","1930","null","112948","null","2704","null","219831","null","7903","null","344724","null","24226","null",
"0500000US41071","Yamhill County, Oregon","17334","2334","null","null","41012","null","3265","null","61166","null","4619","null","90965","null","6566","null","200204","null","35113","null","374402","null","125218","null",
"0500000US42001","Adams County, Pennsylvania","16722","1752","null","null","36627","null","2561","null","59660","null","4236","null","89684","null","4474","null","158789","null","10576","null","240934","null","22806","null",
"0500000US42003","Allegheny County, Pennsylvania","12055","527","null","null","32639","null","790","null","56444","null","1201","null","90643","null","1516","null","198351","null","5156","null","345853","null","16643","null",
"0500000US42005","Armstrong County, Pennsylvania","12255","1377","null","null","28081","null","2378","null","47276","null","3192","null","72410","null","4273","null","140662","null","15902","null","221221","null","43261","null",
"0500000US42007","Beaver County, Pennsylvania","14456","1581","null","null","34364","null","2130","null","55504","null","2584","null","85201","null","3459","null","158751","null","8008","null","243718","null","22383","null",
"0500000US42011","Berks County, Pennsylvania","14085","1093","null","null","36310","null","1390","null","59738","null","2216","null","91892","null","2734","null","181869","null","10624","null","303408","null","38187","null",
"0500000US42013","Blair County, Pennsylvania","12373","1054","null","null","28274","null","1654","null","43888","null","2464","null","68497","null","3527","null","141302","null","21051","null","249198","null","76972","null",
"0500000US42017","Bucks County, Pennsylvania","19510","1355","null","null","50037","null","1967","null","79824","null","2582","null","120728","null","3218","null","263465","null","11707","null","471464","null","37124","null",
"0500000US42019","Butler County, Pennsylvania","17744","1355","null","null","41963","null","1939","null","67170","null","3051","null","102866","null","3692","null","210468","null","13419","null","347922","null","34266","null",
"0500000US42021","Cambria County, Pennsylvania","11291","1111","null","null","27523","null","1815","null","44792","null","2192","null","70313","null","2971","null","133892","null","8220","null","211076","null","27503","null",
"0500000US42025","Carbon County, Pennsylvania","13689","2615","null","null","31777","null","3335","null","52053","null","4786","null","77305","null","6086","null","140755","null","11898","null","201045","null","24384","null",
